Material 1,Material 2,Step in ratio,Angle,Polarization value,Polarization range,Color value,Color range
,,0.1,10,0.5,0.1,0.45,0.1
,,,,,,,
,,fraction of material 1,fraction of material 2,size of material 1,size of material 2,polarization value,color value
Ice,ice+void_porosity_0.40,0.1,0.9,0.576226,0.148184,0.464121,0.373019
Ice,ice+void_porosity_0.40,0.1,0.9,2.939965,0.148184,0.428976,0.393921
Ice,ice+void_porosity_0.40,0.2,0.8,2.939965,0.194428,0.410453,0.36018
Ice,ice+void_porosity_0.40,0.2,0.8,2.939965,0.255104,0.502335,0.350059
Ice,ice+void_porosity_0.50,0.1,0.9,0.112939,0.148184,0.577429,0.350405
Ice,ice+void_porosity_0.50,0.1,0.9,0.576226,0.148184,0.466579,0.370007
Ice,ice+void_porosity_0.50,0.1,0.9,2.939965,0.148184,0.430853,0.391212
Ice,ice+void_porosity_0.50,0.2,0.8,2.939965,0.194428,0.406154,0.370909
Ice,ice+void_porosity_0.50,0.2,0.8,2.939965,0.255104,0.491552,0.356506
Ice,ice+void_porosity_0.55,0.1,0.9,0.112939,0.148184,0.573253,0.365467
Ice,ice+void_porosity_0.55,0.1,0.9,0.576226,0.148184,0.462448,0.384387
Ice,ice+void_porosity_0.55,0.1,0.9,2.939965,0.148184,0.427497,0.404575
Ice,ice+void_porosity_0.55,0.2,0.8,2.939965,0.194428,0.413722,0.381868
Ice,ice+void_porosity_0.55,0.2,0.8,2.939965,0.255104,0.501894,0.362059
Ice,ice+void_porosity_0.90,0.1,0.9,0.112939,0.148184,0.573253,0.350774
Ice,ice+void_porosity_0.90,0.1,0.9,0.576226,0.148184,0.462448,0.370649
Ice,ice+void_porosity_0.90,0.1,0.9,2.939965,0.148184,0.427497,0.392093
Ice,ice+void_porosity_0.90,0.2,0.8,2.939965,0.194428,0.413722,0.376424
Ice,ice+void_porosity_0.90,0.2,0.8,2.939965,0.255104,0.501894,0.364569
Ice,Organic,0.1,0.9,0.112939,0.148184,0.457491,0.392682
Ice,Organic,0.1,0.9,0.756051,0.148184,0.533023,0.356223
Ice,Titan_tholin,0.1,0.9,0.112939,0.148184,0.519477,0.354455
Ice,Titan_tholin,0.1,0.9,0.576226,0.148184,0.420363,0.373196
Ice_tholin,ice+void_porosity_0.40,0.1,0.9,0.112939,0.148184,0.56752,0.354465
Ice_tholin,ice+void_porosity_0.40,0.1,0.9,0.991995,0.148184,0.456449,0.366
Ice_tholin,ice+void_porosity_0.50,0.1,0.9,0.112939,0.148184,0.570565,0.351225
Ice_tholin,ice+void_porosity_0.50,0.1,0.9,0.991995,0.148184,0.45886,0.362971
Ice_tholin,ice+void_porosity_0.55,0.1,0.9,0.112939,0.148184,0.566382,0.36625
Ice_tholin,ice+void_porosity_0.55,0.1,0.9,0.991995,0.148184,0.45475,0.377273
Ice_tholin,ice+void_porosity_0.90,0.1,0.9,0.112939,0.148184,0.566382,0.351605
Ice_tholin,ice+void_porosity_0.90,0.1,0.9,0.991995,0.148184,0.45475,0.363506
Ice_tholin,Organic,0.1,0.9,0.112939,0.148184,0.452137,0.393318
Ice_tholin,Organic,0.1,0.9,0.148184,0.148184,0.577255,0.376774
Ice_tholin,Organic,0.1,0.9,1.30157,0.148184,0.467522,0.371654
Ice_tholin,Organic,0.2,0.8,3.857451,0.148184,0.498128,0.351802
Ice_tholin,Organic,0.2,0.8,5.061259,0.148184,0.476323,0.351908
